title,genres,mood
Tender Mercies (1983),Drama|Romance|Western,sad
And the Band Played On (1993),Drama,sad
"'burbs, The (1989)",Comedy,happy
Fandango (1985),Comedy,happy
"Night Porter, The (Portiere di notte, Il) (1974)",Crime|Drama|Romance,sad
Mephisto (1981),Drama|War,sad
Blue Velvet (1986),Drama|Mystery|Thriller,sad
"Journey of Natty Gann, The (1985)",Adventure|Children,excited
"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,happy
Lady and the Tramp (1955),Animation|Children|Comedy|Romance,happy
"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,happy
"Mighty Ducks, The (1992)",Children|Comedy,happy
"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical,happy
Newsies (1992),Children|Musical,calm
101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,excited
Peter Pan (1953),Animation|Children|Fantasy|Musical,calm
Popeye (1980),Adventure|Comedy|Musical,excited
"Rescuers Down Under, The (1990)",Adventure|Animation|Children,excited
"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama,excited
Return from Witch Mountain (1978),Children|Sci-Fi,calm
"Return of Jafar, The (1994)",Adventure|Animation|Children|Fantasy|Musical|Romance,excited
Return to Oz (1985),Adventure|Children|Fantasy,excited
"Rocketeer, The (1991)",Action|Adventure|Sci-Fi,energetic
"Shaggy D.A., The (1976)",Children|Comedy,happy
Sleeping Beauty (1959),Animation|Children|Musical,calm
Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller,sad
Son of Flubber (1963),Children|Comedy,happy
Song of the South (1946),Adventure|Animation|Children|Musical,excited
Splash (1984),Comedy|Fantasy|Romance,happy
Steamboat Willie (1928),Animation|Children|Comedy|Musical,happy
Tall Tale (1995),Adventure|Children|Fantasy|Western,excited
Tex (1982),Drama,sad
Tron (1982),Action|Adventure|Sci-Fi,energetic
Swing Kids (1993),Drama|War,sad
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror|Thriller,dark
L.A. Story (1991),Comedy|Romance,happy
"Jerk, The (1979)",Comedy,happy
Dead Men Don't Wear Plaid (1982),Comedy|Crime|Thriller,happy
"Man with Two Brains, The (1983)",Comedy,happy
Grand Canyon (1991),Crime|Drama,sad
"Outsiders, The (1983)",Drama,sad
Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,energetic
"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy,excited
1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi,sad
"Dead Zone, The (1983)",Thriller,tense
Maximum Overdrive (1986),Horror,dark
Needful Things (1993),Drama|Horror,sad
Cujo (1983),Horror|Thriller,dark
Children of the Corn (1984),Horror|Thriller,dark
All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy,happy
"Addams Family, The (1991)",Children|Comedy|Fantasy,happy
Ever After: A Cinderella Story (1998),Comedy|Drama|Romance,happy
Snake Eyes (1998),Action|Crime|Mystery|Thriller,energetic
Atlantic City (1980),Crime|Drama|Romance,sad
Autumn Sonata (Höstsonaten) (1978),Drama,sad
Who's Afraid of Virginia Woolf? (1966),Drama,sad
Adventures in Babysitting (1987),Adventure|Comedy,excited
Weird Science (1985),Comedy|Fantasy|Sci-Fi,happy
Doctor Dolittle (1967),Adventure|Children|Musical,excited
"Nutty Professor, The (1963)",Comedy|Sci-Fi,happy
Charlotte's Web (1973),Animation|Children,calm
Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy,excited
"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama,excited
"Dark Crystal, The (1982)",Adventure|Fantasy,excited
"American Tail, An (1986)",Adventure|Animation|Children|Comedy,excited
"American Tail: Fievel Goes West, An (1991)",Adventure|Animation|Children|Musical|Western,excited
Legend (1985),Adventure|Fantasy|Romance,excited
Sixteen Candles (1984),Comedy|Romance,happy
Pretty in Pink (1986),Comedy|Drama|Romance,happy
St. Elmo's Fire (1985),Drama|Romance,sad
"Clan of the Cave Bear, The (1986)",Adventure|Drama|Fantasy,excited
House (1986),Comedy|Fantasy|Horror,happy
House II: The Second Story (1987),Comedy|Fantasy|Horror,happy
"Gods Must Be Crazy, The (1980)",Adventure|Comedy,excited
"Gods Must Be Crazy II, The (1989)",Comedy,happy
Air Bud: Golden Receiver (1998),Children|Comedy,happy
"Avengers, The (1998)",Action|Adventure,energetic
How Stella Got Her Groove Back (1998),Drama|Romance,sad
"Slums of Beverly Hills, The (1998)",Comedy|Drama,happy
"Best Man, The (Testimone dello sposo, Il) (1998)",Comedy|Drama|Romance,happy
Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller,dark
Rosemary's Baby (1968),Drama|Horror|Thriller,sad
"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,excited
"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy,excited
Attack of the Killer Tomatoes! (1978),Comedy|Horror,happy
Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror,energetic
Your Friends and Neighbors (1998),Comedy|Drama,happy
Return to Paradise (1998),Crime|Drama|Romance|Thriller,sad
Blade (1998),Action|Horror|Thriller,energetic
Dead Man on Campus (1998),Comedy,happy
Wrongfully Accused (1998),Action|Comedy,energetic
Next Stop Wonderland (1998),Comedy|Drama|Romance,happy
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",Comedy|Drama,happy
Beetlejuice (1988),Comedy|Fantasy,happy
Déjà Vu (1997),Drama|Romance,sad
Rope (1948),Crime|Drama|Thriller,sad
Family Plot (1976),Comedy|Thriller,happy
Frenzy (1972),Thriller,tense
Topaz (1969),Thriller,tense
Torn Curtain (1966),Thriller,tense
Marnie (1964),Drama|Mystery|Romance|Thriller,sad
"Wrong Man, The (1956)",Drama|Film-Noir|Thriller,sad
"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller,excited
"Trouble with Harry, The (1955)",Comedy|Mystery,happy
I Confess (1953),Thriller,tense
Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,sad
Stage Fright (1950),Mystery|Romance|Thriller,romantic
54 (1998),Drama,sad
Why Do Fools Fall In Love? (1998),Drama,sad
Willow (1988),Action|Adventure|Fantasy,energetic
"Untouchables, The (1987)",Action|Crime|Drama,energetic
Dirty Work (1998),Comedy,happy
Knock Off (1998),Action,energetic
"Paradine Case, The (1947)",Drama,sad
Lifeboat (1944),Drama|War,sad
Shadow of a Doubt (1943),Crime|Drama|Thriller,sad
Saboteur (1942),Mystery|Thriller,tense
Mr. & Mrs. Smith (1941),Comedy|Romance,happy
Suspicion (1941),Film-Noir|Mystery|Thriller,tense
Jamaica Inn (1939),Drama,sad
"Lady Vanishes, The (1938)",Drama|Mystery|Thriller,sad
Sabotage (1936),Thriller,tense
Secret Agent (1936),Thriller,tense
"Man Who Knew Too Much, The (1934)",Drama|Thriller,sad
"Ring, The (1927)",Drama,sad
"Lodger: A Story of the London Fog, The (1927)",Crime|Drama|Thriller,sad
Rounders (1998),Drama,sad
Cube (1997),Horror|Mystery|Sci-Fi|Thriller,dark
Simon Birch (1998),Drama,sad
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama,happy
My Bodyguard (1980),Drama,sad
Class (1983),Comedy,happy
Broadcast News (1987),Comedy|Drama|Romance,happy
"Allnighter, The (1987)",Comedy|Romance,happy
Working Girl (1988),Comedy|Drama|Romance,happy
Married to the Mob (1988),Comedy,happy
Say Anything... (1989),Comedy|Drama|Romance,happy
My Blue Heaven (1990),Comedy,happy
Hero (1992),Comedy|Drama,happy
Toys (1992),Comedy|Fantasy,happy
Young Doctors in Love (1982),Comedy,happy
Parasite (1982),Horror|Sci-Fi,dark
No Small Affair (1984),Comedy|Romance,happy
Blame It on Rio (1984),Comedy|Romance,happy
Wisdom (1986),Crime|Drama,sad
One Crazy Summer (1986),Comedy,happy
About Last Night... (1986),Comedy|Drama|Romance,happy
"Seventh Sign, The (1988)",Drama|Fantasy|Thriller,sad
We're No Angels (1989),Comedy|Crime,happy
Nothing But Trouble (1991),Adventure|Comedy,excited
"Butcher's Wife, The (1991)",Comedy|Romance,happy
Mortal Thoughts (1991),Mystery|Thriller,tense
"Few Good Men, A (1992)",Crime|Drama|Thriller,sad
Indecent Proposal (1993),Drama|Romance,sad
Permanent Midnight (1998),Drama,sad
One True Thing (1998),Drama,sad
Rush Hour (1998),Action|Comedy|Crime|Thriller,energetic
Six-String Samurai (1998),Action|Adventure|Sci-Fi,energetic
Ronin (1998),Action|Crime|Thriller,energetic
Urban Legend (1998),Horror|Thriller,dark
Clay Pigeons (1998),Crime,calm
Monument Ave. (1998),Action|Crime|Drama,energetic
Pecker (1998),Comedy|Drama,happy
"Sheltering Sky, The (1990)",Drama,sad
"Fiendish Plot of Dr. Fu Manchu, The (1980)",Comedy,happy
Them! (1954),Horror|Sci-Fi|Thriller,dark
"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,energetic
"Player, The (1992)",Comedy|Crime|Drama,happy
Stardust Memories (1980),Comedy|Drama,happy
Edward Scissorhands (1990),Drama|Fantasy|Romance,sad
Overnight Delivery (1998),Comedy|Romance,happy
Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,excited
"Impostors, The (1998)",Comedy,happy
"Night at the Roxbury, A (1998)",Comedy,happy
What Dreams May Come (1998),Adventure|Drama|Fantasy|Romance,excited
Strangeland (1998),Thriller,tense
"Producers, The (1968)",Comedy,happy
History of the World: Part I (1981),Comedy|Musical,happy
My Cousin Vinny (1992),Comedy,happy
Nashville (1975),Drama|Musical,sad
Love Is the Devil (1998),Drama,sad
Holy Man (1998),Comedy,happy
One Tough Cop (1998),Action|Crime,energetic
"Mighty, The (1998)",Drama,sad
2010: The Year We Make Contact (1984),Sci-Fi,calm
Children of a Lesser God (1986),Drama,sad
"Elephant Man, The (1980)",Drama,sad
Beloved (1998),Drama,sad
Bride of Chucky (Child's Play 4) (1998),Comedy|Horror|Thriller,happy
Practical Magic (1998),Drama|Fantasy|Mystery|Romance,sad
Happiness (1998),Comedy|Drama,happy
Apt Pupil (1998),Drama|Thriller,sad
Pleasantville (1998),Comedy|Drama|Fantasy,happy
Soldier (1998),Action|Sci-Fi|War,energetic
"Cruise, The (1998)",Documentary,calm
Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,happy
Orgazmo (1997),Comedy,happy
Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller,dark
Vampires (1998),Horror|Western,dark
American History X (1998),Crime|Drama,sad
Hands on a Hard Body (1996),Comedy|Documentary,happy
Living Out Loud (1998),Comedy|Drama|Romance,happy
Belly (1998),Crime|Drama,sad
Gods and Monsters (1998),Drama,sad
"Siege, The (1998)",Action|Thriller,energetic
"Waterboy, The (1998)",Comedy,happy
Elizabeth (1998),Drama,sad
Velvet Goldmine (1998),Drama,sad
I Still Know What You Did Last Summer (1998),Horror|Mystery|Thriller,dark
I'll Be Home For Christmas (1998),Comedy|Romance,happy
Meet Joe Black (1998),Romance,romantic
Hard Core Logo (1996),Comedy|Drama,happy
Runaway Train (1985),Action|Adventure|Drama|Thriller,energetic
"Stepford Wives, The (1975)",Mystery|Sci-Fi|Thriller,tense
"Pope of Greenwich Village, The (1984)",Drama,sad
Sid and Nancy (1986),Drama,sad
Mona Lisa (1986),Comedy|Thriller,happy
Heart Condition (1990),Comedy,happy
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama,sad
"Big Chill, The (1983)",Comedy|Drama,happy
Enemy of the State (1998),Action|Thriller,energetic
"Rugrats Movie, The (1998)",Animation|Children|Comedy,happy
"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,excited
Celebrity (1998),Comedy,happy
Central Station (Central do Brasil) (1998),Drama,sad
Savior (1998),Drama|War,sad
Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy,happy
"Celebration, The (Festen) (1998)",Drama,sad
Pink Flamingos (1972),Comedy,happy
Glen or Glenda (1953),Drama,sad
Godzilla (Gojira) (1954),Drama|Horror|Sci-Fi,sad
"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Action|Horror|Sci-Fi|Thriller,energetic
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Action|Sci-Fi,energetic
King Kong (1933),Action|Adventure|Fantasy|Horror,energetic
King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller,excited
King Kong Lives (1986),Adventure|Sci-Fi,excited
Desperately Seeking Susan (1985),Comedy|Drama|Romance,happy
"Emerald Forest, The (1985)",Action|Adventure|Drama,energetic
Fletch (1985),Comedy|Crime|Mystery,happy
Fletch Lives (1989),Comedy,happy
Red Sonja (1985),Action|Adventure|Fantasy,energetic
Gung Ho (1986),Comedy|Drama,happy
"Money Pit, The (1986)",Comedy,happy
"View to a Kill, A (1985)",Action|Adventure|Thriller,energetic
Lifeforce (1985),Horror|Sci-Fi,dark
Police Academy (1984),Comedy|Crime,happy
Police Academy 2: Their First Assignment (1985),Comedy|Crime,happy
Police Academy 3: Back in Training (1986),Comedy|Crime,happy
Police Academy 4: Citizens on Patrol (1987),Comedy|Crime,happy
Police Academy 5: Assignment: Miami Beach (1988),Comedy|Crime,happy
Police Academy 6: City Under Siege (1989),Comedy|Crime,happy
Babe: Pig in the City (1998),Adventure|Children|Drama,excited
Home Fries (1998),Comedy|Romance,happy
Very Bad Things (1998),Comedy|Crime,happy
Steam: The Turkish Bath (Hamam) (1997),Drama|Romance,sad
Psycho (1998),Crime|Horror|Thriller,dark
Little Voice (1998),Comedy,happy
"Simple Plan, A (1998)",Crime|Drama|Thriller,sad
Jack Frost (1998),Children|Comedy|Drama,happy
Star Trek: Insurrection (1998),Action|Drama|Romance|Sci-Fi,energetic
"Prince of Egypt, The (1998)",Animation|Musical,calm
Rushmore (1998),Comedy|Drama,happy
Shakespeare in Love (1998),Comedy|Drama|Romance,happy
Miracle on 34th Street (1947),Comedy|Drama,happy
Santa Claus: The Movie (1985),Adventure|Children|Fantasy,excited
Prancer (1989),Children|Drama|Fantasy,sad
Pale Rider (1985),Western,calm
Rambo: First Blood Part II (1985),Action|Adventure|Thriller,energetic
First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller,energetic
Rambo III (1988),Action|Adventure|Thriller|War,energetic
"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,energetic
Romancing the Stone (1984),Action|Adventure|Comedy|Romance,energetic
Cocoon (1985),Comedy|Sci-Fi,happy
Cocoon: The Return (1988),Comedy|Sci-Fi,happy
Rocky II (1979),Action|Drama,energetic
Rocky III (1982),Action|Drama,energetic
Rocky IV (1985),Action|Drama,energetic
Rocky V (1990),Action|Drama,energetic
Clue (1985),Comedy|Crime|Mystery|Thriller,happy
Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller,energetic
Violets Are Blue... (1986),Drama|Romance,sad
Back to School (1986),Comedy,happy
Heartburn (1986),Comedy|Drama,happy
Nothing in Common (1986),Comedy,happy
Extremities (1986),Drama|Thriller,sad
"Karate Kid, The (1984)",Drama,sad
"Karate Kid, Part II, The (1986)",Action|Adventure|Drama,energetic
"Karate Kid, Part III, The (1989)",Action|Adventure|Children|Drama,energetic
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy,happy
You've Got Mail (1998),Comedy|Romance,happy
"General, The (1998)",Crime,calm
"Thin Red Line, The (1998)",Action|Drama|War,energetic
"Faculty, The (1998)",Horror|Sci-Fi,dark
Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller,energetic
Mighty Joe Young (1949),Adventure|Children|Drama,excited
Patch Adams (1998),Comedy|Drama,happy
Stepmom (1998),Drama,sad
"Civil Action, A (1998)",Drama,sad
Hurlyburly (1998),Drama,sad
Tea with Mussolini (1999),Comedy|Drama|War,happy
Affliction (1997),Drama,sad
Hilary and Jackie (1998),Drama,sad
Playing by Heart (1998),Drama|Romance,sad
At First Sight (1999),Drama,sad
In Dreams (1999),Horror|Thriller,dark
Varsity Blues (1999),Comedy|Drama,happy
Virus (1999),Horror|Sci-Fi,dark
Howard the Duck (1986),Adventure|Comedy|Sci-Fi,excited
"Gate, The (1987)",Horror,dark
"Boy Who Could Fly, The (1986)",Drama|Fantasy,sad
"Fly, The (1958)",Horror|Mystery|Sci-Fi,dark
"Fly, The (1986)",Drama|Horror|Sci-Fi|Thriller,sad
"Fly II, The (1989)",Horror|Sci-Fi,dark
Running Scared (1986),Action|Comedy,energetic
Armed and Dangerous (1986),Comedy|Crime,happy
"Texas Chainsaw Massacre, The (1974)",Horror,dark
"Texas Chainsaw Massacre 2, The (1986)",Horror,dark
Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),Horror,dark
Ruthless People (1986),Comedy,happy
Deadly Friend (1986),Horror,dark
"Name of the Rose, The (Name der Rose, Der) (1986)",Crime|Drama|Mystery|Thriller,sad
Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,energetic
Peggy Sue Got Married (1986),Comedy|Drama,happy
Crocodile Dundee (1986),Adventure|Comedy,excited
Crocodile Dundee II (1988),Action|Adventure|Comedy,energetic
Tough Guys (1986),Comedy,happy
Soul Man (1986),Comedy,happy
"Color of Money, The (1986)",Drama,sad
52 Pick-Up (1986),Action|Mystery|Thriller,energetic
Heartbreak Ridge (1986),Action|War,energetic
Firewalker (1986),Adventure,excited
¡Three Amigos! (1986),Comedy|Western,happy
My Name Is Joe (1998),Drama|Romance,sad
Still Crazy (1998),Comedy|Romance,happy
"Day of the Beast, The (Día de la Bestia, El) (1995)",Adventure|Comedy|Thriller,excited
She's All That (1999),Comedy|Romance,happy
Peeping Tom (1960),Drama|Horror|Thriller,sad
Payback (1999),Action|Thriller,energetic
Simply Irresistible (1999),Comedy|Romance,happy
20 Dates (1998),Comedy|Romance,happy
"Harmonists, The (1997)",Drama,sad
"Last Days, The (1998)",Documentary,calm
"Fantastic Planet, The (Planète sauvage, La) (1973)",Animation|Sci-Fi,calm
Blast from the Past (1999),Comedy|Romance,happy
Message in a Bottle (1999),Romance,romantic
My Favorite Martian (1999),Comedy|Sci-Fi,happy
Jawbreaker (1999),Comedy,happy
October Sky (1999),Drama,sad
Office Space (1999),Comedy|Crime,happy
"Apple, The (Sib) (1998)",Drama,sad
200 Cigarettes (1999),Comedy|Drama,happy
8MM (1999),Drama|Mystery|Thriller,sad
"Other Sister, The (1999)",Comedy|Drama|Romance,happy
"Long Goodbye, The (1973)",Crime|Film-Noir,calm
"Ballad of Narayama, The (Narayama bushiko) (1983)",Drama,sad
Pet Sematary (1989),Horror,dark
Pet Sematary II (1992),Comedy|Horror,happy
Children of the Corn II: The Final Sacrifice (1993),Horror,dark
Children of the Corn III (1994),Horror,dark
Christine (1983),Horror,dark
Night Shift (1982),Comedy,happy
Airport (1970),Drama,sad
Airport 1975 (1974),Action|Drama|Thriller,energetic
Airport '77 (1977),Drama,sad
Rollercoaster (1977),Drama|Thriller,sad
"Towering Inferno, The (1974)",Action|Adventure|Drama|Thriller,energetic
Alligator (1980),Action|Horror|Sci-Fi,energetic
Meteor (1979),Sci-Fi,calm
Westworld (1973),Action|Sci-Fi|Thriller|Western,energetic
Logan's Run (1976),Action|Adventure|Sci-Fi,energetic
Planet of the Apes (1968),Action|Drama|Sci-Fi,energetic
Beneath the Planet of the Apes (1970),Action|Sci-Fi,energetic
Battle for the Planet of the Apes (1973),Action|Sci-Fi,energetic
Conquest of the Planet of the Apes (1972),Action|Sci-Fi,energetic
Escape from the Planet of the Apes (1971),Action|Sci-Fi,energetic
Avalanche (1978),Action,energetic
Earthquake (1974),Action|Drama|Thriller,energetic
Beyond the Poseidon Adventure (1979),Adventure,excited
Dancemaker (1998),Documentary,calm
Analyze This (1999),Comedy,happy
"Corruptor, The (1999)",Action|Crime|Drama|Thriller,energetic
Cruel Intentions (1999),Drama,sad
"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,happy
"School of Flesh, The (École de la chair, L') (1998)",Drama|Romance,sad
"Deep End of the Ocean, The (1999)",Drama,sad
"Rage: Carrie 2, The (1999)",Horror,dark
Wing Commander (1999),Action|Sci-Fi,energetic
"Haunting, The (1963)",Horror|Thriller,dark
Dead Ringers (1988),Drama|Horror|Thriller,sad
My Boyfriend's Back (1993),Comedy,happy
Village of the Damned (1960),Horror|Sci-Fi|Thriller,dark
Children of the Damned (1963),Horror|Sci-Fi|Thriller,dark
Baby Geniuses (1999),Comedy,happy
I Stand Alone (Seul contre tous) (1998),Drama|Thriller,sad
Forces of Nature (1999),Comedy|Romance,happy
"King and I, The (1999)",Animation|Children,calm
Ravenous (1999),Horror|Thriller,dark
True Crime (1999),Crime|Thriller,tense
Dangerous Beauty (1998),Drama,sad
"King and I, The (1956)",Drama|Musical|Romance,sad
Doug's 1st Movie (1999),Animation|Children,calm
EDtv (1999),Comedy,happy
"Mod Squad, The (1999)",Action|Crime,energetic
"Walk on the Moon, A (1999)",Drama|Romance,sad
"Matrix, The (1999)",Action|Sci-Fi|Thriller,energetic
10 Things I Hate About You (1999),Comedy|Romance,happy
Tango (1998),Drama|Musical,sad
"Out-of-Towners, The (1999)",Comedy,happy
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",Drama,sad
Metroland (1997),Comedy|Drama,happy
Following (1998),Crime|Mystery|Thriller,tense
Go (1999),Comedy|Crime,happy
Never Been Kissed (1999),Comedy|Romance,happy
Twin Dragons (Shuang long hui) (1992),Action|Comedy,energetic
Cookie's Fortune (1999),Comedy|Drama,happy
"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)",Drama|Romance,sad
Goodbye Lover (1999),Comedy|Crime|Thriller,happy
Life (1999),Comedy|Crime|Drama,happy
Friends & Lovers (1999),Comedy|Drama|Romance,happy
Hideous Kinky (1998),Drama,sad
"Monster, The (Mostro, Il) (1994)",Comedy,happy
Open Your Eyes (Abre los ojos) (1997),Drama|Romance|Sci-Fi|Thriller,sad
SLC Punk! (1998),Comedy|Drama,happy
Lost & Found (1999),Comedy|Romance,happy
Pushing Tin (1999),Comedy,happy
Election (1999),Comedy,happy
eXistenZ (1999),Action|Sci-Fi|Thriller,energetic
Entrapment (1999),Crime|Thriller,tense
Idle Hands (1999),Comedy|Horror,happy
Get Real (1998),Drama|Romance,sad
"King of Masks, The (Bian Lian) (1996)",Drama,sad
"Winslow Boy, The (1999)",Drama,sad
Mildred Pierce (1945),Drama|Film-Noir,sad
Night of the Comet (1984),Comedy|Horror|Sci-Fi,happy
Chopping Mall (a.k.a. Killbots) (1986),Action|Horror|Sci-Fi,energetic
My Science Project (1985),Adventure|Sci-Fi,excited
Dick Tracy (1990),Action|Crime,energetic
"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller,energetic
"Castle, The (1997)",Comedy,happy
This Is My Father (1998),Drama|Romance,sad
William Shakespeare's A Midsummer Night's Dream (1999),Comedy|Fantasy,happy
Trippin' (1999),Comedy,happy
After Life (Wandafuru raifu) (1998),Drama|Fantasy,sad
Black Mask (Hak hap) (1996),Action|Adventure|Crime|Sci-Fi|Thriller,energetic
Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,energetic
"Love Letter, The (1999)",Comedy|Romance,happy
Besieged (a.k.a. L' Assedio) (1998),Drama,sad
"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Adventure|Drama|Mystery,excited
"Mummy, The (1932)",Horror|Romance,dark
"Mummy, The (1959)",Horror,dark
Mommie Dearest (1981),Drama,sad
Superman (1978),Action|Adventure|Sci-Fi,energetic
Superman II (1980),Action|Sci-Fi,energetic
Superman III (1983),Action|Adventure|Sci-Fi,energetic
Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,energetic
Dracula (1931),Horror,dark
Frankenstein (1931),Drama|Horror|Sci-Fi,sad
Frankenstein Meets the Wolf Man (1943),Horror,dark
"Curse of Frankenstein, The (1957)",Horror,dark
"Wolf Man, The (1941)",Drama|Fantasy|Horror,sad
Howling II: Your Sister Is a Werewolf (1985),Horror,dark
Tarantula (1955),Horror|Sci-Fi,dark
"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,happy
It Came from Hollywood (1982),Comedy|Documentary,happy
"Thing from Another World, The (1951)",Horror|Sci-Fi,dark
It Came from Outer Space (1953),Sci-Fi,calm
"War of the Worlds, The (1953)",Action|Drama|Sci-Fi,energetic
Invasion of the Body Snatchers (1956),Horror|Sci-Fi|Thriller,dark
Earth vs. the Flying Saucers (1956),Sci-Fi,calm
Swamp Thing (1982),Horror|Sci-Fi,dark
Pork Chop Hill (1959),War,calm
Run Silent Run Deep (1958),War,calm
Notting Hill (1999),Comedy|Romance,happy
"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller,sad
"Loss of Sexual Innocence, The (1999)",Drama|Fantasy,sad
Instinct (1999),Drama|Thriller,sad
Buena Vista Social Club (1999),Documentary|Musical,calm
Free Enterprise (1998),Comedy|Romance|Sci-Fi,happy
Limbo (1999),Drama,sad
Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,energetic
"Red Violin, The (Violon rouge, Le) (1998)",Drama|Mystery,sad
Tarzan (1999),Adventure|Animation|Children|Drama,excited
"General's Daughter, The (1999)",Crime|Drama|Mystery|Thriller,sad
"Ideal Husband, An (1999)",Comedy|Romance,happy
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",Drama,sad
Run Lola Run (Lola rennt) (1998),Action|Crime,energetic
Trekkies (1997),Documentary,calm
Big Daddy (1999),Comedy,happy
"Boys, The (1998)",Drama,sad
"Dinner Game, The (Dîner de cons, Le) (1998)",Comedy,happy
My Son the Fanatic (1997),Comedy|Drama|Romance,happy
Zone 39 (1997),Sci-Fi,calm
Arachnophobia (1990),Comedy|Horror,happy
"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,happy
Wild Wild West (1999),Action|Comedy|Sci-Fi|Western,energetic
Summer of Sam (1999),Drama,sad
American Pie (1999),Comedy|Romance,happy
Arlington Road (1999),Thriller,tense
"Autumn Tale, An (Conte d'automne) (1998)",Romance,romantic
Muppets From Space (1999),Children|Comedy,happy
"Blair Witch Project, The (1999)",Drama|Horror|Thriller,sad
Eyes Wide Shut (1999),Drama|Mystery|Thriller,sad
Lake Placid (1999),Horror|Thriller,dark
Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,energetic
Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi,happy
Drop Dead Gorgeous (1999),Comedy,happy
"Haunting, The (1999)",Horror|Thriller,dark
Inspector Gadget (1999),Action|Adventure|Children|Comedy,energetic
Deep Blue Sea (1999),Action|Horror|Sci-Fi|Thriller,energetic
Mystery Men (1999),Action|Comedy|Fantasy,energetic
Runaway Bride (1999),Comedy|Romance,happy
Twin Falls Idaho (1999),Drama,sad
"Killing, The (1956)",Crime|Film-Noir,calm
Killer's Kiss (1955),Crime|Film-Noir,calm
Spartacus (1960),Action|Drama|Romance|War,energetic
Lolita (1962),Drama|Romance,sad
Barry Lyndon (1975),Drama|Romance|War,sad
"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama,sad
Jules and Jim (Jules et Jim) (1961),Drama|Romance,sad
Vibes (1988),Adventure|Comedy|Romance,excited
"Mosquito Coast, The (1986)",Adventure|Drama|Thriller,excited
"Golden Child, The (1986)",Action|Adventure|Comedy|Fantasy|Mystery,energetic
Brighton Beach Memoirs (1986),Comedy,happy
Assassination (1987),Action|Drama|Thriller,energetic
